item_proposed	item_desired	date_proposed	date_reviewed	accepted
1360	260	2022-04-15	2022-04-25	0
1360	1094	2022-05-05		
1370	3316	2022-04-18	2022-05-10	1
1371	559	2022-04-22		
1372	2411	2022-05-03	2022-05-09	0
1372	3547	2022-05-31	2022-06-10	0
1373	40	2022-05-25	2022-06-14	1
1374	1287	2022-05-17	2022-05-19	1
1375	2431	2022-05-09		
1378	6694	2022-04-27	2022-05-24	1
1379	6048	2022-04-22	2022-05-20	1
1380	5417	2022-04-15	2022-05-06	1
1381	5787	2022-04-20	2022-05-03	1
1385	3442	2022-04-22	2022-05-04	1
1386	169	2022-06-06		
1387	1541	2022-04-26	2022-05-06	0
1388	492	2022-04-18	2022-05-09	0
1388	4188	2022-05-12	2022-06-07	0
1391	1229	2022-05-02	2022-05-31	1
1393	6775	2022-04-19	2022-05-16	1
1394	6632	2022-04-26	2022-05-02	1
1399	1105	2022-04-27	2022-05-02	0
1400	5269	2022-04-15	2022-04-19	1
1402	1160	2022-05-04	2022-05-17	1
1407	1154	2022-05-24	2022-05-26	1
1410	2968	2022-04-21		
1413	3891	2022-05-11	2022-05-31	1
1414	2822	2022-04-15	2022-04-25	0
1418	3682	2022-04-20	2022-04-25	1
1420	4738	2022-04-26	2022-05-02	1
1421	4914	2022-05-04	2022-05-12	1
1424	2093	2022-04-18	2022-04-19	1
1426	332	2022-04-21		
1427	6916	2022-05-13	2022-06-02	1
1429	5008	2022-04-21	2022-04-25	0
1433	7226	2022-05-27		
1434	1024	2022-05-02		
1440	2785	2022-06-01		
1443	776	2022-04-19	2022-04-26	1
1444	6534	2022-04-22	2022-05-11	1
1445	5449	2022-04-18	2022-05-18	1
1446	20	2022-05-04	2022-05-11	1
1447	2803	2022-05-23		
1449	1816	2022-04-22	2022-05-06	0
1450	6250	2022-04-28	2022-05-31	1
1451	903	2022-04-15	2022-04-28	0
1453	5351	2022-04-19	2022-04-25	1
1455	2164	2022-04-15	2022-05-17	0
1456	4781	2022-05-02	2022-05-03	1
1457	4911	2022-05-05	2022-05-12	0
1462	3802	2022-05-09	2022-05-18	1
1467	1321	2022-04-15	2022-04-27	1
1468	4542	2022-04-28		
1469	1185	2022-05-25		
1469	6238	2022-04-20	2022-05-17	0
1472	2286	2022-05-13	2022-05-25	0
1472	4719	2022-05-27	2022-05-30	1
1475	1484	2022-05-17	2022-06-08	1
1476	1761	2022-05-16	2022-05-23	0
1477	4379	2022-04-18	2022-04-20	1
1478	990	2022-04-25	2022-05-27	1
1479	3829	2022-04-21	2022-04-28	1
1481	3768	2022-04-29	2022-05-05	1
1482	6177	2022-04-19		
1485	4765	2022-05-02	2022-05-03	0
1486	1041	2022-04-15	2022-04-20	0
1486	3647	2022-06-07		
1486	4985	2022-04-26	2022-05-31	0
1489	6864	2022-04-25	2022-05-02	0
1490	456	2022-04-15	2022-04-20	1
1492	7326	2022-05-30	2022-06-10	0
1493	933	2022-06-09	2022-06-14	1
1493	5495	2022-05-18	2022-06-01	0
1494	775	2022-04-19	2022-05-13	0
1495	1096	2022-05-05		
1496	1440	2022-04-18	2022-05-03	0
1497	2264	2022-05-19		
1498	4318	2022-05-05	2022-05-11	1
1499	3696	2022-04-27		
1501	7370	2022-04-15	2022-05-31	1
1502	845	2022-04-21	2022-04-27	1
1503	3538	2022-05-12	2022-05-17	1
1505	6552	2022-04-19	2022-04-25	1
1507	2680	2022-05-26	2022-06-14	0
1507	6317	2022-04-22	2022-05-18	0
1509	1014	2022-04-25		
1510	3790	2022-06-01		
1516	4618	2022-05-03	2022-05-04	1
1517	1648	2022-05-20	2022-06-10	1
1518	3983	2022-04-15	2022-05-04	1
1522	1828	2022-04-21	2022-04-27	0
1524	707	2022-04-15	2022-06-07	0
1525	1641	2022-04-22	2022-05-02	1
1526	2636	2022-04-25	2022-06-01	0
1531	6109	2022-04-15	2022-05-02	0
1533	1996	2022-05-20		
1535	230	2022-04-18	2022-06-08	1
1537	729	2022-04-26	2022-04-27	0
1539	6723	2022-04-28	2022-06-01	0
1541	6287	2022-05-18	2022-06-06	1
1542	4607	2022-05-06		
1544	422	2022-04-22	2022-06-06	1
1545	3900	2022-05-02	2022-05-24	1
1547	4198	2022-04-29	2022-05-13	0
1548	2537	2022-06-02	2022-06-08	1
1549	3854	2022-04-15	2022-05-19	1
1554	5446	2022-04-21	2022-05-09	0
1556	1921	2022-04-20	2022-04-21	0
1556	5905	2022-05-03		
1558	6324	2022-04-19	2022-04-22	1
1560	635	2022-05-05	2022-05-16	1
1561	1554	2022-05-10	2022-05-23	1
1563	3072	2022-05-17		
1564	5229	2022-05-03	2022-06-01	0
1564	5819	2022-06-09		
1567	3460	2022-04-18	2022-05-31	1
1568	5580	2022-05-11	2022-05-17	0
1569	2996	2022-05-04	2022-06-09	1
1570	2789	2022-04-28	2022-05-06	0
1570	5992	2022-05-12	2022-05-25	0
1573	3071	2022-04-21	2022-05-02	1
1574	1367	2022-06-07		
1575	2906	2022-04-20	2022-05-25	1
1576	988	2022-04-15	2022-05-05	1
1577	570	2022-04-18	2022-04-28	0
1577	1795	2022-05-02	2022-05-06	0
1579	2351	2022-04-19	2022-04-21	1
1580	2702	2022-04-21	2022-05-06	1
1584	67	2022-04-22	2022-05-26	1
1587	3657	2022-05-06	2022-06-14	1
1588	5935	2022-06-02		
1589	252	2022-04-21	2022-04-26	1
1590	2608	2022-05-17	2022-05-20	1
1591	5581	2022-04-19	2022-05-05	0
1592	4337	2022-04-20	2022-05-30	0
1592	4872	2022-06-03		
1593	3263	2022-04-18		
1594	164	2022-05-31	2022-06-08	0
1595	5908	2022-04-18		
1598	7391	2022-05-16	2022-06-02	0
1600	1356	2022-05-23		
1602	354	2022-04-21	2022-04-29	1
1606	2674	2022-04-29	2022-05-31	0
1607	4827	2022-06-13		
1612	6729	2022-04-21	2022-05-17	1
1617	3534	2022-04-19	2022-05-12	0
1619	3991	2022-05-25	2022-06-01	0
1622	2609	2022-04-15	2022-04-26	0
1623	6343	2022-05-23		
1625	3839	2022-05-27		
1626	4814	2022-04-27	2022-05-09	1
1630	289	2022-04-28	2022-05-30	0
1630	2883	2022-06-07	2022-06-09	1
1632	754	2022-04-18	2022-05-03	0
1636	5391	2022-04-25	2022-05-04	1
1639	173	2022-04-28		
1640	4953	2022-04-21	2022-06-01	1
1645	4166	2022-04-20	2022-04-29	1
1646	417	2022-04-15	2022-04-21	0
1646	6073	2022-04-21		
1647	4058	2022-04-26	2022-05-17	1
1649	5082	2022-05-20		
1651	1327	2022-04-27	2022-05-26	0
1654	462	2022-04-27		
1654	5718	2022-04-21	2022-04-27	0
1661	3678	2022-05-16		
1662	3227	2022-04-25		
1663	851	2022-04-18	2022-05-26	0
1663	1305	2022-05-26		
1665	4024	2022-05-05		
1666	7312	2022-05-11		
1669	2215	2022-04-27	2022-05-10	0
1670	2117	2022-04-19	2022-05-02	1
1671	378	2022-05-10	2022-05-17	1
1672	6259	2022-04-18	2022-04-28	1
1673	5853	2022-04-15	2022-04-26	1
1675	1001	2022-04-27	2022-06-07	0
1676	6611	2022-04-26	2022-05-04	0
1677	5633	2022-04-21	2022-05-09	1
1678	4397	2022-05-11		
1679	5974	2022-04-15		
1684	1249	2022-05-12	2022-05-26	1
1686	3429	2022-04-22	2022-05-06	1
1688	6231	2022-04-19	2022-05-23	1
1693	4567	2022-04-15		
1694	2585	2022-04-22	2022-05-10	0
1695	5916	2022-05-10		
1696	1471	2022-05-05	2022-05-23	0
1698	184	2022-04-15	2022-06-06	1
1702	6870	2022-05-02	2022-05-10	0
1703	3653	2022-05-11		
1704	1745	2022-04-18	2022-04-21	0
1705	162	2022-05-27		
1706	3562	2022-04-20		
1707	3307	2022-06-14		
1710	2719	2022-05-04	2022-05-23	1
1712	2616	2022-05-03	2022-05-26	1
1716	403	2022-04-19	2022-05-26	0
1720	6631	2022-04-15	2022-04-21	1
1722	2969	2022-05-16	2022-05-27	0
1724	3326	2022-04-15		
1725	5969	2022-04-21	2022-05-16	0
1728	1894	2022-05-25	2022-05-27	1
1728	2514	2022-04-18	2022-04-20	0
1729	2263	2022-04-15	2022-06-08	0
1731	233	2022-05-12	2022-05-17	1
1732	2900	2022-05-11	2022-05-25	0
1733	4490	2022-04-19	2022-05-12	1
1735	373	2022-06-13		
1736	1552	2022-05-03	2022-05-04	1
1739	3210	2022-05-16	2022-05-18	0
1744	5255	2022-04-21	2022-05-04	1
1747	4587	2022-04-22	2022-04-26	1
1749	2766	2022-05-10		
1750	1565	2022-04-21	2022-05-25	1
1751	6212	2022-04-25	2022-06-03	1
1752	2203	2022-04-18	2022-04-19	1
1753	5875	2022-04-15	2022-05-09	1
1754	762	2022-05-17	2022-05-23	1
1755	258	2022-04-18	2022-05-26	0
1755	5828	2022-05-27	2022-06-01	1
1756	168	2022-04-25	2022-05-27	0
1762	6540	2022-05-18		
1763	6571	2022-04-15		
1765	3516	2022-05-23	2022-05-27	1
1766	3630	2022-05-05	2022-05-16	1
1768	674	2022-04-20	2022-05-12	1
1771	2955	2022-06-14		
1773	774	2022-04-29	2022-05-04	0
1773	6920	2022-05-05		
1774	4312	2022-05-06	2022-05-19	1
1775	5474	2022-05-09	2022-05-18	1
1780	6923	2022-04-22	2022-05-04	1
1781	6711	2022-04-15	2022-05-16	1
1782	2384	2022-05-24		
1782	2959	2022-04-20	2022-05-18	0
1788	7090	2022-04-20	2022-05-03	1
1790	4009	2022-04-22	2022-05-13	1
1791	6548	2022-04-21	2022-06-01	1
1794	2306	2022-06-13		
1794	6963	2022-04-28	2022-06-13	0
1796	4503	2022-05-13	2022-05-19	0
1797	4031	2022-06-06		
1799	3602	2022-04-18	2022-05-04	1
1802	939	2022-06-08		
1805	5925	2022-05-02	2022-05-25	0
1806	7418	2022-04-22	2022-04-27	0
1807	6769	2022-05-19	2022-05-23	1
1808	7104	2022-04-21	2022-05-05	1
1810	3346	2022-05-13		
1812	180	2022-04-26		
1813	3714	2022-04-19	2022-04-26	0
1814	4524	2022-05-25	2022-06-02	0
1817	3605	2022-04-21		
1819	3730	2022-05-19		
1821	676	2022-06-08		
1823	4676	2022-06-14		
1824	163	2022-05-26		
1824	5716	2022-04-15	2022-05-05	0
1825	6243	2022-04-18	2022-04-27	0
1826	1399	2022-05-02	2022-06-13	0
1827	4522	2022-04-15	2022-04-26	1
1828	7020	2022-05-26	2022-05-30	1
1829	5607	2022-04-19	2022-05-18	1
1831	605	2022-04-15	2022-04-28	0
1839	6890	2022-04-26	2022-05-04	1
1842	5002	2022-04-20	2022-05-10	1
1847	1900	2022-05-30		
1848	6101	2022-05-13		
1850	4577	2022-04-29		
1851	1870	2022-04-18	2022-04-20	0
1851	2334	2022-04-21	2022-04-26	0
1853	5297	2022-04-22	2022-04-26	1
1854	6982	2022-05-13		
1859	1048	2022-05-19	2022-05-24	0
1860	688	2022-05-05		
1861	5501	2022-04-19	2022-04-21	1
1868	1441	2022-05-02	2022-06-01	1
1871	4735	2022-04-15	2022-05-04	1
1872	7082	2022-04-18		
1873	6036	2022-04-20	2022-05-26	0
1874	588	2022-05-05	2022-05-27	0
1875	503	2022-04-19	2022-05-17	1
1876	1757	2022-04-18	2022-05-16	1
1877	2581	2022-05-05		
1878	5780	2022-04-15	2022-05-24	1
1881	420	2022-04-26	2022-04-29	0
1881	767	2022-05-10	2022-05-13	1
1883	6523	2022-04-19	2022-05-24	1
1884	4565	2022-04-18	2022-05-18	0
1886	11	2022-05-30		
1887	2420	2022-04-21	2022-05-27	1
1891	5707	2022-04-19		
1894	3202	2022-04-25	2022-05-06	0
1896	2782	2022-04-19	2022-05-05	0
1897	2838	2022-04-15	2022-05-13	1
1898	5056	2022-05-23		
1900	2705	2022-04-20	2022-04-27	0
1902	821	2022-06-07	2022-06-10	0
1902	7142	2022-04-27	2022-05-10	0
1908	300	2022-04-22	2022-05-02	1
1913	6493	2022-04-18		
1914	7405	2022-04-15	2022-04-28	1
1916	3295	2022-04-28		
1917	6024	2022-06-01		
1918	1975	2022-05-05		
1920	2048	2022-05-09	2022-05-10	0
1920	3574	2022-05-27	2022-06-07	0
1926	3772	2022-04-18	2022-06-10	0
1928	6557	2022-04-15	2022-05-03	1
1931	1183	2022-04-19	2022-05-31	0
1935	2085	2022-04-15	2022-04-21	0
1937	3242	2022-05-10	2022-05-19	1
1938	6646	2022-04-15	2022-06-06	1
1940	5899	2022-05-16	2022-05-27	1
1941	7417	2022-06-09		
1942	593	2022-05-30		
1943	394	2022-04-29	2022-05-06	0
1948	7263	2022-04-15		
1949	3819	2022-04-18	2022-04-19	0
1950	4886	2022-04-20	2022-05-23	1
1951	5892	2022-06-08		
1954	7091	2022-04-21		
1955	5200	2022-05-12	2022-05-16	1
1958	5302	2022-04-27	2022-05-11	1
1959	6807	2022-04-18	2022-05-16	1
1962	3036	2022-04-25	2022-05-12	1
1963	107	2022-04-15	2022-05-02	0
1964	6043	2022-06-01	2022-06-06	1
1967	4280	2022-04-20	2022-05-04	0
1969	361	2022-05-18	2022-06-07	0
1970	643	2022-04-15	2022-04-20	0
1970	1879	2022-04-22	2022-05-18	0
1970	6962	2022-05-25		
1971	4456	2022-04-29	2022-05-24	1
1975	5785	2022-04-19	2022-04-27	0
1978	736	2022-04-22	2022-05-26	1
1979	1474	2022-05-02		
1982	1252	2022-04-20	2022-05-25	0
1983	424	2022-04-26	2022-04-27	1
1984	5812	2022-05-17		
1986	5838	2022-05-02		
1987	3594	2022-04-20	2022-04-27	1
1988	2472	2022-04-18		
1989	4555	2022-04-21	2022-05-13	1
1989	5585	2022-04-19	2022-04-20	0
1991	5943	2022-04-28	2022-05-03	1
1994	3782	2022-04-20	2022-05-11	0
1997	2712	2022-04-19		
1998	3620	2022-04-26		
1999	5165	2022-06-06		
2000	7004	2022-04-22		
2001	3850	2022-05-30	2022-05-31	0
2003	2408	2022-04-28	2022-05-10	0
2003	3499	2022-06-09		
2004	1981	2022-04-21	2022-05-31	1
2007	4534	2022-04-15	2022-05-13	1
2009	4085	2022-04-19		
2011	4493	2022-05-03	2022-06-09	1
2013	3581	2022-04-20	2022-05-19	1
2014	1813	2022-05-09	2022-05-11	0
2017	5554	2022-04-29	2022-05-26	1
2018	6757	2022-04-20	2022-06-10	0
2021	7129	2022-04-15		
2023	1994	2022-06-09		
2025	2917	2022-06-02	2022-06-03	0
2030	2881	2022-05-17	2022-06-07	1
2031	1990	2022-05-05		
2032	2797	2022-06-08		
2034	1075	2022-04-25	2022-05-23	1
2034	6063	2022-04-18	2022-04-25	0
2035	1179	2022-04-15	2022-04-25	0
2035	3396	2022-05-09	2022-05-23	0
2036	5769	2022-05-17	2022-05-26	1
2037	4399	2022-05-04		
2038	7161	2022-04-25	2022-06-09	1
2040	3564	2022-04-18	2022-04-28	0
2041	4838	2022-04-19	2022-04-22	0
2042	5964	2022-05-25		
2042	5980	2022-04-22	2022-04-29	0
2042	7066	2022-05-06	2022-05-24	0
2047	4133	2022-05-19	2022-05-20	0
2048	1195	2022-05-10	2022-05-31	1
2049	3152	2022-04-21	2022-05-27	1
2055	6304	2022-05-06	2022-05-13	1
2056	1431	2022-05-25		
2061	6026	2022-05-04	2022-05-31	1
2062	18	2022-05-03	2022-06-07	0
2065	3698	2022-04-26	2022-06-10	1
2066	910	2022-05-31	2022-06-03	1
2066	6474	2022-04-25	2022-05-31	0
2069	4368	2022-04-19	2022-05-04	1
2070	2913	2022-04-27	2022-05-12	1
2071	6017	2022-05-25		
2072	3517	2022-04-20		
2073	3232	2022-04-21	2022-04-22	1
2074	3109	2022-04-15	2022-06-03	0
2076	930	2022-04-27	2022-05-27	0
2079	49	2022-04-19	2022-05-05	1
2080	3979	2022-05-18		
2082	1328	2022-05-04	2022-05-25	0
2083	4803	2022-05-06		
2085	3836	2022-05-25		
2086	5872	2022-04-20		
2088	4017	2022-05-12		
2094	7079	2022-05-10	2022-05-18	1
2095	1527	2022-04-15		
2096	5621	2022-04-21	2022-04-29	1
2097	5992	2022-04-18	2022-04-19	0
2099	1404	2022-04-19	2022-05-30	1
2101	6691	2022-05-05	2022-05-31	1
2107	6613	2022-04-20	2022-05-12	0
2107	7323	2022-05-16	2022-05-23	1
2109	3134	2022-04-19	2022-04-25	1
2110	6621	2022-04-21	2022-05-06	1
2111	2343	2022-04-15	2022-05-03	0
2111	3087	2022-06-01		
2114	1064	2022-04-22		
2116	3189	2022-06-06		
2116	6749	2022-04-15	2022-04-21	0
2121	1904	2022-04-18	2022-05-23	1
2122	2587	2022-06-02	2022-06-10	1
2123	2324	2022-05-18	2022-06-01	0
2124	7257	2022-04-22	2022-06-09	1
2126	3431	2022-05-19	2022-05-26	1
2128	1557	2022-04-15		
2130	5544	2022-04-29	2022-06-13	1
2131	3229	2022-04-18	2022-05-09	1
2140	4679	2022-04-15		
2143	6678	2022-04-18	2022-05-02	1
2144	4993	2022-06-14		
2145	6853	2022-04-19	2022-05-31	1
2146	1025	2022-05-19	2022-06-08	0
2148	2539	2022-04-15	2022-04-20	0
2148	5924	2022-04-21	2022-04-25	1
2150	1464	2022-04-21	2022-05-11	0
2150	5431	2022-06-03		
2150	5830	2022-05-16	2022-05-19	0
2151	6380	2022-05-05	2022-05-11	1
2155	2455	2022-04-25	2022-06-07	0
2156	5722	2022-05-12	2022-05-18	0
2160	3796	2022-05-05		
2161	3379	2022-06-03	2022-06-06	0
2161	3807	2022-04-18	2022-05-24	0
2162	78	2022-04-25	2022-05-24	1
2163	1726	2022-04-15	2022-05-04	1
2167	6998	2022-04-26	2022-06-08	1
2170	3641	2022-06-10		
2170	4991	2022-04-20	2022-05-06	0
2171	5049	2022-04-15	2022-04-21	1
2172	2787	2022-05-16	2022-06-09	0
2173	2100	2022-04-29	2022-05-18	1
2173	5884	2022-04-15	2022-04-21	0
2175	5744	2022-04-18		
2176	6577	2022-05-06	2022-06-01	1
2177	1792	2022-04-28		
2178	7154	2022-04-22	2022-05-20	1
2179	1820	2022-04-15	2022-04-26	1
2180	2664	2022-04-25	2022-06-01	0
2186	5388	2022-05-12	2022-05-30	0
2187	3765	2022-04-19	2022-04-20	1
2190	3885	2022-05-02	2022-06-02	0
2192	4805	2022-05-19		
2193	560	2022-04-15	2022-06-02	1
2195	2409	2022-04-20	2022-06-13	0
2196	5789	2022-04-27		
2198	5354	2022-04-19	2022-05-20	1
2199	1599	2022-05-02		
2200	3827	2022-04-22	2022-04-25	1
2201	61	2022-04-15	2022-06-02	0
2208	3013	2022-05-03	2022-06-08	1
2212	1539	2022-06-01		
2213	4989	2022-04-15	2022-04-20	1
2214	5803	2022-05-06		
2214	7321	2022-04-21	2022-05-03	0
2216	2605	2022-04-18	2022-05-16	1
2220	5937	2022-04-26		
2221	3825	2022-04-21	2022-04-25	0
2221	6880	2022-06-08		
2227	387	2022-04-15	2022-05-03	0
2228	5578	2022-04-18	2022-05-24	1
2229	2412	2022-06-06		
2230	6738	2022-04-15	2022-04-28	1
2231	3467	2022-04-18	2022-05-18	0
2232	5977	2022-04-19	2022-04-21	1
2234	4951	2022-05-03	2022-05-11	0
2235	3297	2022-04-25	2022-05-11	0
2236	5050	2022-04-15	2022-04-26	1
2239	2473	2022-05-13	2022-05-20	1
2242	3550	2022-04-15	2022-05-25	1
2243	1382	2022-04-27	2022-04-28	1
2245	4022	2022-05-23		
2246	2876	2022-06-06	2022-06-07	1
2249	3568	2022-04-29	2022-06-01	0
2250	144	2022-04-20	2022-05-12	0
2250	6574	2022-05-12	2022-05-19	1
2251	80	2022-04-15	2022-05-04	1
2254	5942	2022-04-15	2022-04-28	1
2255	1150	2022-04-19	2022-04-27	1
2258	665	2022-04-29	2022-05-04	0
2258	6088	2022-05-05	2022-06-01	0
2259	3418	2022-06-13		
2260	6025	2022-05-11		
2261	421	2022-05-25		
2262	6617	2022-04-27		
2264	6389	2022-04-22	2022-05-18	0
2265	4786	2022-04-19	2022-04-20	1
2266	5103	2022-04-15	2022-05-26	1
2267	6311	2022-04-26	2022-05-10	0
2269	6755	2022-04-25	2022-04-27	1
2270	656	2022-04-27	2022-05-12	1
2271	3079	2022-04-18		
2272	6082	2022-04-18	2022-04-25	1
2273	4927	2022-04-15	2022-06-06	1
2275	1352	2022-04-21	2022-05-06	1
2276	5011	2022-04-29	2022-05-04	0
2280	1947	2022-04-25	2022-04-28	1
2282	2534	2022-05-19	2022-06-07	0
2283	3687	2022-04-15	2022-05-09	1
2284	2717	2022-04-18		
2286	4936	2022-06-03		
2287	1069	2022-05-09	2022-05-12	1
2288	6728	2022-05-02		
2291	1239	2022-04-18	2022-05-09	1
2292	2008	2022-04-27		
2294	270	2022-04-15	2022-04-26	0
2294	1844	2022-04-29	2022-05-11	1
2299	216	2022-04-15		
2301	5020	2022-04-20	2022-05-13	1
2303	2290	2022-04-19	2022-05-11	1
2304	6049	2022-05-04	2022-05-16	1
2306	3404	2022-05-25	2022-06-01	0
2308	142	2022-04-19	2022-05-03	1
2310	2682	2022-04-27	2022-05-18	0
2311	4724	2022-04-18	2022-05-10	1
2312	829	2022-05-13	2022-05-19	1
2321	1586	2022-04-20	2022-05-30	1
2322	4192	2022-05-30	2022-06-02	0
2326	712	2022-04-25	2022-05-02	1
2331	3908	2022-04-18		
2332	494	2022-05-26		
2333	2609	2022-05-04	2022-05-17	1
2335	6820	2022-04-21	2022-04-22	1
2342	6528	2022-04-15	2022-04-20	0
2344	6486	2022-04-18	2022-04-22	0
2350	6819	2022-04-29	2022-05-12	1
2352	3895	2022-05-13	2022-05-30	1
2352	4770	2022-05-03	2022-05-05	0
2353	2669	2022-04-15	2022-04-27	1
2356	2591	2022-05-31	2022-06-01	1
2357	4141	2022-06-08		
2360	1701	2022-04-22	2022-05-02	1
2363	846	2022-04-15	2022-05-02	1
2365	696	2022-05-16	2022-06-14	0
2367	7409	2022-05-31	2022-06-08	1
2368	2497	2022-06-09		
2370	7064	2022-04-20	2022-04-26	1
2373	152	2022-04-18	2022-05-16	1
2376	3350	2022-04-29	2022-06-01	0
2377	2520	2022-04-19	2022-05-10	1
2380	6487	2022-04-15	2022-04-25	1
2381	4019	2022-06-14		
2383	3307	2022-04-18	2022-04-21	0
2383	7417	2022-04-21	2022-05-24	0
2384	2259	2022-04-15	2022-05-18	0
2385	3128	2022-05-12	2022-06-13	1
2390	6254	2022-04-25	2022-04-26	1
2391	2958	2022-06-02		
2392	2563	2022-04-21	2022-05-31	0
2394	2663	2022-06-13		
2397	1668	2022-05-06	2022-05-09	1
2398	6345	2022-04-22		
2399	3454	2022-05-06	2022-05-11	0
2400	7367	2022-04-21	2022-04-22	1
2402	1118	2022-04-21	2022-04-22	0
2402	4748	2022-04-27	2022-05-24	1
2405	5561	2022-04-20	2022-05-04	1
2406	5998	2022-04-22	2022-05-19	1
2413	2894	2022-05-03	2022-06-10	0
2415	5715	2022-04-21		
2417	177	2022-04-18	2022-05-05	0
2419	6701	2022-04-22		
2421	5932	2022-05-02	2022-06-13	1
2422	451	2022-05-10	2022-05-13	0
2424	3117	2022-04-26	2022-05-09	1
2425	1615	2022-04-15		
2427	6475	2022-04-19	2022-04-29	0
2428	2366	2022-04-29	2022-05-13	1
2434	823	2022-04-18	2022-04-21	1
2435	6685	2022-05-30		
2436	6891	2022-04-29		
2438	4523	2022-04-22		
2440	6403	2022-05-13	2022-05-17	1
2441	404	2022-04-15	2022-04-21	1
2443	1364	2022-04-26	2022-05-10	1
2445	6191	2022-04-18	2022-04-26	1
2447	6151	2022-04-21	2022-05-11	1
2448	6551	2022-04-15	2022-05-10	1
2450	2734	2022-04-19	2022-05-13	1
2451	2514	2022-05-05		
2453	5141	2022-04-15		
2454	5416	2022-04-22	2022-05-11	1
2457	4856	2022-04-21	2022-05-06	1
2460	2543	2022-06-03		
2461	244	2022-04-18	2022-05-24	0
2462	3905	2022-05-06		
2463	2026	2022-05-02	2022-05-11	1
2464	1597	2022-04-22	2022-05-24	1
2465	58	2022-05-09		
2466	2297	2022-04-19	2022-04-20	1
2468	499	2022-05-04	2022-06-10	1
2469	6640	2022-04-15	2022-05-26	1
2471	188	2022-04-29	2022-05-13	0
2473	5401	2022-04-28	2022-05-10	0
2476	6542	2022-04-21	2022-05-05	1
2479	759	2022-04-26	2022-05-02	0
2480	2407	2022-05-04	2022-05-10	0
2484	157	2022-04-15		
2486	6028	2022-05-05	2022-05-10	1
2487	1436	2022-05-04	2022-05-16	1
2489	297	2022-04-20	2022-05-20	1
2490	1735	2022-05-03	2022-06-07	0
2493	3800	2022-04-19	2022-05-18	1
2498	6970	2022-04-15	2022-05-10	1
2499	1021	2022-05-05	2022-05-12	1
2500	4922	2022-05-11	2022-05-13	1
2500	5677	2022-04-18	2022-05-04	0
2501	6190	2022-04-19	2022-05-05	1
2505	2932	2022-06-09		
2506	3689	2022-04-21	2022-04-25	0
2506	5465	2022-05-17	2022-06-06	0
2507	1658	2022-05-06		
2509	340	2022-05-05	2022-05-16	0
2509	543	2022-06-14		
2510	5484	2022-04-21	2022-05-11	1
2511	6821	2022-04-26	2022-05-04	0
2512	7260	2022-04-20	2022-06-01	1
2514	1259	2022-04-22	2022-05-03	0
2515	5970	2022-06-14		
2518	2182	2022-04-19	2022-06-03	0
2521	4346	2022-04-15	2022-04-18	1
2522	3705	2022-04-19		
2523	5102	2022-05-20	2022-06-02	1
2524	6972	2022-06-13		
2525	4157	2022-05-25	2022-05-31	0
2529	5552	2022-05-12	2022-06-07	0
2530	1464	2022-05-17		
2530	1532	2022-04-15	2022-05-03	0
2531	7033	2022-04-18	2022-05-18	1
2538	2606	2022-04-21	2022-05-30	0
2542	6256	2022-06-06		
2545	5129	2022-05-03	2022-06-10	0
2547	4980	2022-04-18	2022-06-03	1
2548	894	2022-04-19	2022-05-10	0
2549	2936	2022-04-21		
2550	7210	2022-05-04		
2551	3642	2022-05-20	2022-06-10	1
2552	374	2022-05-05		
2553	5268	2022-04-19		
2554	1925	2022-04-15	2022-04-21	1
2555	2668	2022-06-07		
2556	6459	2022-04-27	2022-05-31	0
2557	4769	2022-04-15	2022-06-02	1
2561	3615	2022-06-03		
2566	1728	2022-04-22	2022-05-09	0
2567	703	2022-04-18	2022-06-10	0
2568	5947	2022-04-28	2022-05-20	0
2569	2080	2022-04-19	2022-05-04	0
2570	2820	2022-04-20	2022-04-27	1
2571	3764	2022-06-10		
2572	2873	2022-06-06		
2574	7396	2022-04-19	2022-04-29	0
2578	226	2022-05-18		
2582	2862	2022-04-15	2022-05-09	1
2583	6483	2022-05-16	2022-05-26	1
2588	4776	2022-05-03	2022-05-27	0
2591	2816	2022-04-18	2022-04-27	0
2597	7278	2022-04-15	2022-04-21	1
2598	5738	2022-04-26	2022-05-25	1
2600	3625	2022-04-20	2022-04-28	1
2602	5059	2022-05-24		
2603	2692	2022-04-15	2022-04-21	1
2604	7356	2022-04-19	2022-04-28	1
2607	5615	2022-04-28	2022-05-09	1
2611	175	2022-04-22	2022-05-04	1
2620	5046	2022-05-31		
2622	2546	2022-05-03	2022-06-06	1
2624	2388	2022-04-15	2022-05-24	0
2629	4977	2022-04-18	2022-05-06	1
2632	6344	2022-04-15	2022-05-10	1
2633	3455	2022-05-13	2022-05-24	0
2635	4720	2022-04-27	2022-05-05	1
2642	4388	2022-05-11		
2643	3341	2022-04-21	2022-05-12	0
2643	3476	2022-05-13		
2644	3968	2022-04-25	2022-05-11	1
2645	1540	2022-05-16	2022-06-14	1
2645	2149	2022-04-20	2022-04-21	0
2646	2302	2022-04-15		
2647	6958	2022-05-03		
2649	467	2022-04-21		
2652	5576	2022-05-04	2022-05-24	0
2653	527	2022-04-15	2022-05-17	0
2654	327	2022-05-06	2022-05-17	1
2659	3555	2022-04-19	2022-05-06	1
2664	550	2022-06-07		
2665	3521	2022-04-18	2022-04-27	1
2667	2133	2022-05-11	2022-05-30	1
